Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1904,860,0,320,530,840,370,30,80,130,230,970,2070
1905,250,20,4060,1000,360,110,0,10,430,180,2520,1620
1906,160,960,1220,2470,360,,70,0,100,100,1340,1480
1907,940,20,20,1650,170,0,0,100,30,540,450,960
1908,0,390,130,2130,990,0,20,70,0,10,1860,2710
1909,0,0,120,220,10,0,80,10,100,230,290,1710
1910,770,0,0,640,540,,0,0,0,20,210,1230
1911,70,420,200,300,730,170,160,80,0,0,1830,60
1912,200,1860,260,900,100,0,0,30,140,0,1870,2290
1913,450,150,2080,1310,390,0,0,0,0,520,130,510
1914,1060,0,270,180,240,10,0,440,10,680,400,1320
1915,200,430,770,800,490,490,0,0,140,80,680,1480
1916,400,20,1200,2920,140,150,40,50,0,0,960,770
1917,570,670,240,1130,490,0,0,30,0,20,1030,80
1918,1010,150,0,610,220,100,170,30,80,770,360,820
1919,140,190,1890,420,20,0,0,160,200,650,400,560
1920,0,0,520,810,0,0,0,0,300,480,0,2430
1921,0,0,140,560,0,0,0,20,30,40,810,200
1922,0,170,1340,70,1090,0,0,,0,210,1310,1480
1923,590,550,310,910,320,0,0,0,100,130,930,1860
1924,410,1350,250,2010,40,150,0,50,20,0,2490,1590
1925,1780,110,790,0,20,0,0,,170,520,1380,1790
1926,0,0,150,260,190,30,0,0,954,43,278,344
1927,254,0,3791,1283,216,0,10,20,0,0,556,5905
1928,635,0,0,1575,0,381,0,38,0,307,264,0
1929,360,0,70,650,0,160,80,30,163,920,580,1517
1930,300,430,1369,1270,510,50,70,70,210,450,950,1436
1931,0,790,790,1390,130,0,140,10,90,0,350,1940
1932,190,40,570,2240,390,0,0,100,380,40,1060,1890
1933,1150,70,140,200,250,0,100,130,0,150,900,910
1934,0,10,270,170,510,120,0,20,10,30,260,810
1935,0,820,380,50,110,0,0,,170,30,340,830
1936,820,1090,1560,1110,180,550,0,220,300,210,2040,1080
1937,40,0,630,1580,760,30,0,116,70,580,2450,1380
1938,100,360,1100,970,330,5,0,40,50,150,770,1670
1939,250,0,160,670,1070,30,20,170,210,120,2060,170
1940,170,1100,1150,650,230,0,10,130,250,520,550,810
1941,60,10,400,1680,90,30,70,60,60,230,1500,3150
1942,120,650,880,470,110,0,0,50,0,160,1370,720
1943,110,1320,730,440,130,40,40,30,0,20,590,200
1944,620,10,430,1020,330,20,10,10,210,540,700,520
1945,80,60,520,430,570,100,0,10,80,10,640,220
1946,20,0,390,770,880,0,20,60,1380,300,150,400
1947,210,0,1160,1370,430,20,0,140,120,200,570,1550
1948,80,200,430,830,70,80,0,10,0,200,750,1210
1949,20,150,10,240,70,0,270,10,60,40,420,2020
1950,30,360,670,560,210,0,20,50,250,10,470,820
1951,280,50,790,1780,510,10,20,10,10,1500,2130,880
1952,50,240,260,1270,90,0,0,30,60,380,190,1590
1953,570,40,730,350,440,0,80,90,200,380,1200,980
1954,210,30,80,980,170,50,0,60,30,430,240,750
1955,40,450,280,510,280,90,30,10,0,120,830,1310
1956,1170,270,840,220,0,40,10,20,10,40,2610,990
1957,250,360,1230,960,360,20,100,20,170,400,1640,1980
1958,70,1410,1130,1320,130,170,10,60,0,70,380,1230
1959,520,230,490,1140,100,10,20,,120,70,740,680
1960,120,10,610,680,350,20,0,10,10,770,320,770
1961,0,270,750,450,20,0,70,20,900,1220,1907,1706
1962,970,520,1200,170,20,0,0,100,0,0,1533,947
1963,200,190,1040,200,130,200,40,0,110,470,2300,1850
1964,260,340,530,940,120,0,0,20,20,160,40,2260
1965,550,0,260,620,580,10,0,100,90,430,900,820
1966,300,460,2230,1010,280,70,0,40,10,110,540,530
1967,30,370,620,2740,170,40,80,300,930,840,980,250
1968,0,420,3850,880,430,320,0,20,110,270,1700,1150
1969,638,195,1593,870,120,40,10,230,80,662,3020,220
1970,1164,0,2002,240,150,0,40,20,60,40,520,1175
1971,20,0,110,1140,130,60,50,0,30,50,600,610
1972,460,1035,608,907,1597,0,50,18,366,109,2141,1149
1973,274,364,700,604,306,2,6,18,51,143,2037,184
1974,120,8,130,2006,61,24,117,60,9,160,684,461
1975,60,40,263,410,254,0,12,0,220,23,1026,976
1976,193,26,191,599,412,5,4,45,570,13,1433,333
1977,300,276,296,927,58,94,0,26,197,471,1565,2077
1978,1060,354,2160,1006,147,5,16,0,8,158,3342,1158
1979,1441,265,675,1652,562,107,58,3,38,234,794,2203
1980,504,158,541,490,44,0,15,320,89,26,973,969
1981,15,7,2484,841,226,0,30,27,138,352,625,2591
1982,45,0,686,829,259,53,101,129,608,1064,2540,642
1983,27,555,899,31,363,28,56,1,42,0,817,435
1984,3,6,245,602,16,100,46,2,41,725,1206,2292
1985,379,523,106,694,143,0,69,25,54,180,939,1430
1986,76,1,242,300,973,0,0,84,0,204,1480,2187
1987,222,23,83,1607,448,16,114,177,0,61,535,185
1988,1104,35,954,657,48,64,1,99,295,273,631,1934
1989,326,0,85,1209,90,0,0,69,22,681,1145,1232
1990,118,539,2046,2095,13,0,0,0,198,194,570,1707
1991,340,287,1586,1430,348,51,137,,26,184,332,744
1992,30,30,450,1030,310,30,0,20,10,210,1930,1980
1993,1420,190,170,730,40,100,10,70,10,170,1410,1070
1994,80,220,2030,110,250,10,60,20,110,140,2640,2020
1995,80,270,240,1150,50,,10,100,,210,2060,190
1996,60,290,1060,620,380,,10,,10,20,1760,570
